-147382628356.08014,19694063152.675114,729647.4913523293
-147568391591.8912,18412494602.556026,-654343.9863217482
-147743040883.31244,17129539336.495378,-2038286.1828279728
-147906567586.2553,15845294501.628479,-3422074.930357669
-148058963917.66605,14559857265.249483,-4805606.157440456
-148200222954.76273,13273324806.999125,-6188775.897121759
-148330338634.1989,11985794311.07568,-7571480.29510568
-148449305751.15454,10697362958.469872,-8953615.617862526
-148557119958.35464,9408127919.224411,-10335078.26070035
-148653777765.01614,8118186344.71888,-11715764.755799808
-148739276535.7236,6827635359.980628,-13095571.780211704
-148813614489.234,5536572056.022358,-14474396.163816588
-148876790697.21167,4245093482.207059,-15852134.897245746
-148928805082.8933,2953296638.640938,-17228685.139763013
-148969658419.68414,1661278468.594996,-18603944.227106754
-148999352329.68542,369135850.9558728,-19977809.679291483
-149017889282.15396,-923034407.2934177,-21350179.20836847
-149025272591.8944,-2215135578.56225,-22720950.726144813
-149021506417.5845,-3507071022.110053,-24090022.351860408
-149006595760.03427,-4798744191.472282,-25457292.41982227
-148980546460.37933,-6090058641.854133,-26822659.486995656
-148943365198.20932,-7380918037.49141,-28186022.340551507
-148895059489.63162,-8671226158.978018,-29547280.005369637
-148835637685.27133,-9960886910.559498,-30906331.751497246
-148765108968.2078,-11249804327.392103,-32263077.10156219
-148683483351.8485,-12537882582.766865,-33617415.83814061
-148590771677.7408,-13825025995.298145,-34969248.01107839
-148486985613.32217,-15111139036.076172,-36318473.94476602
-148372137649.60944,-16396126335.783049,-37664994.24536647
-148246241098.82788,-17679892691.771774,-39008709.8079955
-148109310091.98062,-18962343075.107784,-40349521.82385419
-147961359576.3588,-20243382637.572556,-41687331.78731313
-147802405312.99344,-21522916718.628822,-43022041.50294791
-147632463874.04956,-22800850852.34696,-44353553.09252554
-147451552640.16287,-24077090774.2921,-45681769.001941495
-147259689797.72006,-25351542428.371567,-47006592.008106835
-147056894336.0831,-26624111973.642204,-48327925.225785285
-146843186044.75818,-27894705791.07721,-49645672.11437973
-146618585510.51004,-29163230490.29208,-50959736.48466793
-146383114114.42218,-30429592916.22927,-52270022.50548709
-146136794028.90356,-31693700155.801224,-53576434.71036697
-145879648214.6428,-32955459544.49139,-54878878.004111215
-145611700417.5098,-34214778672.912884,-56177257.669326715
-145332975165.40616,-35471565393.32445,-57471479.37290062
-145043497765.06464,-36725727826.103386,-58761449.17242477
-144743294298.79822,-37977174366.17515,-60047073.52256733
-144432391621.19965,-39225813689.399254,-61328259.28139134
